,home_team,prediction,prediction.1,away_team,season,week,away_score,home_score,actual
0,WAS,-8.6,1.0,ARI,2023,1,16.0,20.0,4.0
1,NYJ,-0.1,0.4,BUF,2023,1,16.0,22.0,6.0
2,ATL,-4.9,0.5,CAR,2023,1,10.0,24.0,14.0
3,CLE,-1.1,0.3,CIN,2023,1,3.0,24.0,21.0
4,NYG,0.7,0.3,DAL,2023,1,40.0,0.0,-40.0
5,KC,-7.2,1.3,DET,2023,1,21.0,20.0,-1.0
6,CHI,1.8,0.3,GB,2023,1,38.0,20.0,-18.0
7,BAL,-6.9,1.0,HOU,2023,1,9.0,25.0,16.0
8,IND,1.6,0.2,JAX,2023,1,31.0,21.0,-10.0
9,SEA,-7.6,1.3,LA,2023,1,30.0,13.0,-17.0
10,DEN,-1.8,0.4,LV,2023,1,17.0,16.0,-1.0
11,LAC,-0.9,1.3,MIA,2023,1,36.0,34.0,-2.0
12,NE,-0.2,0.3,PHI,2023,1,25.0,20.0,-5.0
13,PIT,1.1,0.3,SF,2023,1,30.0,7.0,-23.0
14,MIN,0.4,0.2,TB,2023,1,20.0,17.0,-3.0
15,NO,-7.0,0.7,TEN,2023,1,15.0,16.0,1.0
16,NYJ,6.1,1.0,BAL,2022,1,24.0,9.0,-15.0
17,LA,3.1,0.1,BUF,2022,1,31.0,10.0,-21.0
18,CAR,4.3,0.3,CLE,2022,1,26.0,24.0,-2.0
19,SEA,-0.5,0.7,DEN,2022,1,16.0,17.0,1.0
20,MIN,4.4,0.4,GB,2022,1,7.0,23.0,16.0
21,HOU,5.3,0.5,IND,2022,1,20.0,20.0,0.0
22,WAS,-7.4,0.3,JAX,2022,1,22.0,28.0,6.0
23,ARI,-4.5,0.7,KC,2022,1,44.0,21.0,-23.0
24,LAC,-7.2,0.6,LV,2022,1,19.0,24.0,5.0
25,MIA,3.5,0.2,NE,2022,1,7.0,20.0,13.0
26,ATL,5.2,0.4,NO,2022,1,27.0,26.0,-1.0
27,TEN,-13.4,1.8,NYG,2022,1,21.0,20.0,-1.0
28,DET,5.2,0.5,PHI,2022,1,38.0,35.0,-3.0
29,CIN,-4.7,0.5,PIT,2022,1,23.0,20.0,-3.0
30,CHI,3.4,0.4,SF,2022,1,10.0,19.0,9.0
31,DAL,-0.1,0.5,TB,2022,1,19.0,3.0,-16.0
32,SF,-8.7,0.6,ARI,2024,5,24.0,23.0,-1.0
33,CIN,3.5,1.4,BAL,2024,5,41.0,38.0,-3.0
34,HOU,-1.6,0.4,BUF,2024,5,20.0,23.0,3.0
35,CHI,-6.0,0.4,CAR,2024,5,10.0,36.0,26.0
36,WAS,-3.4,0.5,CLE,2024,5,13.0,34.0,21.0
37,PIT,-5.0,0.1,DAL,2024,5,20.0,17.0,-3.0
38,LA,1.1,0.5,GB,2024,5,24.0,19.0,-5.0
39,JAX,0.8,0.2,IND,2024,5,34.0,37.0,3.0
40,DEN,-4.2,0.6,LV,2024,5,18.0,34.0,16.0
41,NE,-0.9,0.4,MIA,2024,5,15.0,10.0,-5.0
42,KC,-0.5,0.6,NO,2024,5,13.0,26.0,13.0
43,SEA,-4.8,0.4,NYG,2024,5,29.0,20.0,-9.0
44,MIN,-6.6,0.4,NYJ,2024,5,17.0,23.0,6.0
45,ATL,-1.5,0.5,TB,2024,5,30.0,36.0,6.0
46,PIT,-10.7,1.8,ARI,2023,13,24.0,10.0,-14.0
47,NYJ,1.5,0.3,ATL,2023,13,13.0,8.0,-5.0
48,TB,-4.6,0.3,CAR,2023,13,18.0,21.0,3.0
49,JAX,-4.9,0.6,CIN,2023,13,34.0,31.0,-3.0
50,LA,-0.6,0.7,CLE,2023,13,19.0,36.0,17.0
51,HOU,-6.1,0.4,DEN,2023,13,17.0,22.0,5.0
52,NO,0.0,0.5,DET,2023,13,33.0,28.0,-5.0
53,TEN,0.2,0.6,IND,2023,13,31.0,28.0,-3.0
54,GB,0.3,0.3,KC,2023,13,19.0,27.0,8.0
55,NE,-0.7,1.0,LAC,2023,13,6.0,0.0,-6.0
56,WAS,5.4,1.8,MIA,2023,13,45.0,15.0,-30.0
57,DAL,-8.7,0.5,SEA,2023,13,35.0,41.0,6.0
58,PHI,1.1,0.6,SF,2023,13,42.0,19.0,-23.0
59,ARI,1.0,0.5,CHI,2024,9,9.0,29.0,20.0
60,ATL,-6.0,0.6,DAL,2024,9,21.0,27.0,6.0
61,BAL,-5.1,0.3,DEN,2024,9,10.0,41.0,31.0
62,GB,-0.3,0.6,DET,2024,9,24.0,14.0,-10.0
63,NYJ,-2.3,0.7,HOU,2024,9,13.0,21.0,8.0
64,MIN,-6.7,0.4,IND,2024,9,13.0,21.0,8.0
65,PHI,-6.9,0.5,JAX,2024,9,23.0,28.0,5.0
66,SEA,-1.1,0.3,LA,2024,9,26.0,20.0,-6.0
67,CLE,0.5,1.1,LAC,2024,9,27.0,10.0,-17.0
68,CIN,-5.7,0.4,LV,2024,9,24.0,41.0,17.0
69,BUF,-7.0,0.7,MIA,2024,9,27.0,30.0,3.0
70,TEN,-4.5,0.3,NE,2024,9,17.0,20.0,3.0
71,CAR,2.8,0.5,NO,2024,9,22.0,23.0,1.0
72,KC,-6.5,0.5,TB,2024,9,24.0,30.0,6.0
73,NYG,2.2,0.5,WAS,2024,9,27.0,22.0,-5.0
74,DEN,-3.1,1.0,ARI,2022,15,15.0,24.0,9.0
75,NO,-5.0,1.4,ATL,2022,15,18.0,21.0,3.0
76,CLE,2.6,2.0,BAL,2022,15,3.0,13.0,10.0
77,TB,1.8,2.0,CIN,2022,15,34.0,23.0,-11.0
78,JAX,0.9,0.5,DAL,2022,15,34.0,40.0,6.0
79,NYJ,-5.7,0.4,DET,2022,15,20.0,17.0,-3.0
80,MIN,-0.1,0.4,IND,2022,15,36.0,39.0,3.0
81,HOU,5.3,5.7,KC,2022,15,30.0,24.0,-6.0
82,GB,-4.1,0.5,LA,2022,15,12.0,24.0,12.0
83,BUF,-5.1,0.7,MIA,2022,15,29.0,32.0,3.0
84,LV,0.3,0.6,NE,2022,15,24.0,30.0,6.0
85,WAS,-6.3,0.6,NYG,2022,15,20.0,12.0,-8.0
86,CHI,1.6,0.7,PHI,2022,15,25.0,20.0,-5.0
87,CAR,0.7,0.4,PIT,2022,15,24.0,16.0,-8.0
88,SEA,1.9,0.5,SF,2022,15,21.0,13.0,-8.0
89,LAC,1.1,1.3,TEN,2022,15,14.0,17.0,3.0
90,JAX,-2.2,1.4,ATL,2021,12,21.0,14.0,-7.0
91,NO,3.8,1.5,BUF,2021,12,31.0,6.0,-25.0
92,MIA,5.9,0.4,CAR,2021,12,10.0,33.0,23.0
93,DET,3.2,0.6,CHI,2021,12,16.0,14.0,-2.0
94,BAL,-4.5,0.6,CLE,2021,12,10.0,16.0,6.0
95,GB,-0.4,0.6,LA,2021,12,28.0,36.0,8.0
96,DEN,-0.7,0.9,LAC,2021,12,13.0,28.0,15.0
97,DAL,-9.5,3.9,LV,2021,12,36.0,33.0,-3.0
98,SF,-1.5,1.0,MIN,2021,12,26.0,34.0,8.0
99,HOU,0.8,0.5,NYJ,2021,12,21.0,14.0,-7.0
100,NYG,5.4,1.0,PHI,2021,12,7.0,13.0,6.0
101,CIN,-2.1,0.9,PIT,2021,12,10.0,41.0,31.0
102,WAS,1.2,0.7,SEA,2021,12,15.0,17.0,2.0
103,IND,5.7,0.5,TB,2021,12,38.0,31.0,-7.0
104,NE,-2.6,0.6,TEN,2021,12,13.0,36.0,23.0
105,ATL,-5.8,0.5,ARI,2022,17,19.0,20.0,1.0
106,TB,-6.0,0.6,CAR,2022,17,24.0,30.0,6.0
107,DET,-5.0,1.0,CHI,2022,17,10.0,41.0,31.0
108,WAS,-0.1,0.4,CLE,2022,17,24.0,10.0,-14.0
109,TEN,-0.2,0.8,DAL,2022,17,27.0,13.0,-14.0
110,KC,-6.7,0.7,DEN,2022,17,24.0,27.0,3.0
111,NYG,0.1,0.6,IND,2022,17,10.0,38.0,28.0
112,HOU,2.2,0.7,JAX,2022,17,31.0,3.0,-28.0
113,LAC,-2.7,1.5,LA,2022,17,10.0,31.0,21.0
114,NE,-1.4,0.7,MIA,2022,17,21.0,23.0,2.0
115,GB,-1.4,0.5,MIN,2022,17,17.0,41.0,24.0
116,PHI,-9.4,1.6,NO,2022,17,20.0,10.0,-10.0
117,SEA,-0.8,0.5,NYJ,2022,17,6.0,23.0,17.0
118,BAL,-4.2,0.4,PIT,2022,17,16.0,13.0,-3.0
119,LV,1.0,0.3,SF,2022,17,37.0,34.0,-3.0
120,DAL,-7.9,1.3,ATL,2021,10,3.0,43.0,40.0
121,MIA,8.1,1.6,BAL,2021,10,10.0,22.0,12.0
122,NYJ,9.6,2.1,BUF,2021,10,45.0,17.0,-28.0
123,ARI,-8.8,1.0,CAR,2021,10,34.0,10.0,-24.0
124,NE,3.0,0.3,CLE,2021,10,7.0,45.0,38.0
125,PIT,-4.3,0.4,DET,2021,10,16.0,16.0,0.0
126,IND,-11.0,2.1,JAX,2021,10,17.0,23.0,6.0
127,LV,1.0,1.1,KC,2021,10,41.0,14.0,-27.0
128,SF,5.0,0.2,LA,2021,10,10.0,31.0,21.0
129,LAC,2.6,0.6,MIN,2021,10,27.0,20.0,-7.0
130,TEN,3.8,0.5,NO,2021,10,21.0,23.0,2.0
131,DEN,-4.0,1.2,PHI,2021,10,30.0,13.0,-17.0
132,GB,-1.8,1.1,SEA,2021,10,0.0,17.0,17.0
133,WAS,8.0,1.0,TB,2021,10,19.0,29.0,10.0
134,DET,2.6,0.7,ATL,2023,3,6.0,20.0,14.0
135,WAS,1.9,0.3,BUF,2023,3,37.0,3.0,-34.0
136,SEA,-3.6,0.4,CAR,2023,3,27.0,37.0,10.0
137,KC,-6.1,0.4,CHI,2023,3,10.0,41.0,31.0
138,ARI,1.9,0.4,DAL,2023,3,16.0,28.0,12.0
139,MIA,-4.6,0.7,DEN,2023,3,20.0,70.0,50.0
140,JAX,-2.7,0.5,HOU,2023,3,37.0,17.0,-20.0
141,BAL,-7.6,0.5,IND,2023,3,22.0,19.0,-3.0
142,CIN,-1.4,0.9,LA,2023,3,16.0,19.0,3.0
143,MIN,-1.5,0.7,LAC,2023,3,28.0,24.0,-4.0
144,NYJ,-0.0,0.5,NE,2023,3,15.0,10.0,-5.0
145,GB,0.3,0.5,NO,2023,3,17.0,18.0,1.0
146,SF,-9.0,1.1,NYG,2023,3,12.0,30.0,18.0
147,TB,-2.0,0.3,PHI,2023,3,25.0,11.0,-14.0
148,LV,-2.8,0.5,PIT,2023,3,23.0,18.0,-5.0
149,CLE,-4.2,0.6,TEN,2023,3,3.0,27.0,24.0
150,SEA,-8.1,1.2,ATL,2022,3,27.0,23.0,-4.0
151,NE,-4.8,1.1,BAL,2022,3,37.0,26.0,-11.0
152,MIA,3.9,1.1,BUF,2022,3,19.0,21.0,2.0
153,NYJ,3.5,0.6,CIN,2022,3,27.0,12.0,-15.0
154,NYG,3.0,0.4,DAL,2022,3,23.0,16.0,-7.0
155,MIN,-2.0,1.6,DET,2022,3,24.0,28.0,4.0
156,TB,0.2,0.7,GB,2022,3,14.0,12.0,-2.0
157,CHI,-0.1,1.0,HOU,2022,3,20.0,23.0,3.0
158,LAC,-4.1,0.7,JAX,2022,3,38.0,10.0,-28.0
159,IND,-1.0,0.8,KC,2022,3,17.0,20.0,3.0
160,ARI,1.5,0.2,LA,2022,3,20.0,12.0,-8.0
161,TEN,0.8,0.7,LV,2022,3,22.0,24.0,2.0
162,CAR,3.8,0.8,NO,2022,3,14.0,22.0,8.0
163,WAS,0.4,1.0,PHI,2022,3,24.0,8.0,-16.0
164,CLE,-8.5,0.9,PIT,2022,3,17.0,29.0,12.0
165,DEN,0.5,0.6,SF,2022,3,10.0,11.0,1.0
166,HOU,-10.2,1.1,ARI,2023,11,16.0,21.0,5.0
167,DET,-10.2,1.3,CHI,2023,11,26.0,31.0,5.0
168,BAL,-7.8,0.9,CIN,2023,11,20.0,34.0,14.0
169,CAR,2.7,1.2,DAL,2023,11,33.0,10.0,-23.0
170,GB,-4.5,0.8,LAC,2023,11,20.0,23.0,3.0
171,MIA,-7.1,0.3,LV,2023,11,13.0,20.0,7.0
172,DEN,6.0,3.9,MIN,2023,11,20.0,21.0,1.0
173,WAS,-6.6,0.4,NYG,2023,11,31.0,19.0,-12.0
174,BUF,-5.1,0.4,NYJ,2023,11,6.0,32.0,26.0
175,KC,-5.6,0.8,PHI,2023,11,21.0,17.0,-4.0
176,CLE,-1.0,0.8,PIT,2023,11,10.0,13.0,3.0
177,LA,1.4,1.0,SEA,2023,11,16.0,17.0,1.0
178,SF,-9.2,0.4,TB,2023,11,14.0,27.0,13.0
179,JAX,-5.5,0.3,TEN,2023,11,14.0,34.0,20.0
180,TB,3.9,1.1,BAL,2024,7,41.0,31.0,-10.0
181,WAS,-4.7,0.4,CAR,2024,7,7.0,40.0,33.0
182,CLE,3.9,1.2,CIN,2024,7,21.0,14.0,-7.0
183,NO,-1.0,1.0,DEN,2024,7,33.0,10.0,-23.0
184,MIN,0.5,0.6,DET,2024,7,31.0,29.0,-2.0
185,GB,-3.5,0.3,HOU,2024,7,22.0,24.0,2.0
186,SF,-4.2,0.4,KC,2024,7,28.0,18.0,-10.0
187,ARI,0.4,0.3,LAC,2024,7,15.0,17.0,2.0
188,LA,-3.9,0.3,LV,2024,7,15.0,20.0,5.0
189,IND,-3.4,0.4,MIA,2024,7,10.0,16.0,6.0
190,JAX,-0.1,0.3,NE,2024,7,16.0,32.0,16.0
191,PIT,-5.1,0.5,NYJ,2024,7,15.0,37.0,22.0
192,NYG,-2.4,0.4,PHI,2024,7,28.0,3.0,-25.0
193,ATL,-2.4,0.4,SEA,2024,7,34.0,14.0,-20.0
194,BUF,-5.0,0.4,TEN,2024,7,10.0,34.0,24.0
195,TB,-8.6,0.8,CAR,2021,18,17.0,41.0,24.0
196,MIN,-2.4,1.6,CHI,2021,18,17.0,31.0,14.0
197,CLE,0.8,1.0,CIN,2021,18,16.0,21.0,5.0
198,PHI,3.8,0.4,DAL,2021,18,51.0,26.0,-25.0
199,DET,7.0,1.6,GB,2021,18,30.0,37.0,7.0
200,JAX,6.3,0.9,IND,2021,18,11.0,26.0,15.0
201,DEN,2.9,0.3,KC,2021,18,28.0,24.0,-4.0
202,LV,-0.3,0.8,LAC,2021,18,32.0,35.0,3.0
203,MIA,5.0,0.3,NE,2021,18,24.0,33.0,9.0
204,ATL,4.9,0.4,NO,2021,18,30.0,20.0,-10.0
205,BUF,-16.2,5.4,NYJ,2021,18,10.0,27.0,17.0
206,BAL,-9.9,1.5,PIT,2021,18,16.0,13.0,-3.0
207,ARI,-8.7,0.8,SEA,2021,18,38.0,30.0,-8.0
208,LA,0.7,0.6,SF,2021,18,27.0,24.0,-3.0
209,HOU,6.4,1.1,TEN,2021,18,28.0,25.0,-3.0
210,NYG,3.5,0.3,WAS,2021,18,22.0,7.0,-15.0
211,LA,1.9,0.9,ARI,2021,4,37.0,20.0,-17.0
212,DEN,-5.5,0.7,BAL,2021,4,23.0,7.0,-16.0
213,DAL,6.5,0.8,CAR,2021,4,28.0,36.0,8.0
214,MIN,2.2,0.7,CLE,2021,4,14.0,7.0,-7.0
215,CHI,0.9,0.7,DET,2021,4,14.0,24.0,10.0
216,BUF,-7.4,0.9,HOU,2021,4,0.0,40.0,40.0
217,MIA,1.8,0.7,IND,2021,4,27.0,17.0,-10.0
218,CIN,-3.3,0.7,JAX,2021,4,21.0,24.0,3.0
219,PHI,4.7,0.6,KC,2021,4,42.0,30.0,-12.0
220,LAC,1.7,0.4,LV,2021,4,14.0,28.0,14.0
221,NO,-4.8,0.4,NYG,2021,4,27.0,21.0,-6.0
222,GB,-2.6,0.3,PIT,2021,4,17.0,27.0,10.0
223,SF,-3.5,0.6,SEA,2021,4,28.0,21.0,-7.0
224,NE,3.6,0.6,TB,2021,4,19.0,17.0,-2.0
225,NYJ,7.3,1.1,TEN,2021,4,24.0,27.0,3.0
226,ATL,-0.6,0.6,WAS,2021,4,34.0,30.0,-4.0
227,CAR,-4.5,0.4,ATL,2021,14,29.0,21.0,-8.0
228,CLE,4.7,0.7,BAL,2021,14,22.0,24.0,2.0
229,TB,3.4,0.4,BUF,2021,14,27.0,33.0,6.0
230,GB,-8.5,1.4,CHI,2021,14,30.0,45.0,15.0
231,WAS,4.9,0.4,DAL,2021,14,27.0,20.0,-7.0
232,DEN,-7.6,0.8,DET,2021,14,10.0,38.0,28.0
233,TEN,-10.3,2.0,JAX,2021,14,0.0,20.0,20.0
234,ARI,-1.0,0.7,LA,2021,14,30.0,23.0,-7.0
235,KC,-8.2,1.5,LV,2021,14,9.0,48.0,39.0
236,NYJ,7.5,1.1,NO,2021,14,30.0,9.0,-21.0
237,LAC,-4.7,0.6,NYG,2021,14,21.0,37.0,16.0
238,MIN,-4.3,0.3,PIT,2021,14,28.0,36.0,8.0
239,HOU,7.5,1.1,SEA,2021,14,33.0,13.0,-20.0
240,CIN,2.1,0.4,SF,2021,14,26.0,23.0,-3.0
241,ATL,5.1,0.3,CAR,2021,8,19.0,13.0,-6.0
242,NYJ,8.1,1.0,CIN,2021,8,31.0,34.0,3.0
243,MIN,-4.2,0.7,DAL,2021,8,20.0,16.0,-4.0
244,ARI,-5.5,0.4,GB,2021,8,24.0,21.0,-3.0
245,SEA,-4.6,0.6,JAX,2021,8,7.0,31.0,24.0
246,HOU,8.2,1.0,LA,2021,8,38.0,22.0,-16.0
247,BUF,-11.5,3.2,MIA,2021,8,11.0,26.0,15.0
248,LAC,2.5,0.6,NE,2021,8,27.0,24.0,-3.0
249,KC,-4.8,0.4,NYG,2021,8,17.0,20.0,3.0
250,DET,-0.4,1.3,PHI,2021,8,44.0,6.0,-38.0
251,CLE,-5.0,1.0,PIT,2021,8,15.0,10.0,-5.0
252,CHI,6.4,0.3,SF,2021,8,33.0,22.0,-11.0
253,NO,4.8,0.3,TB,2021,8,27.0,36.0,9.0
254,IND,0.4,0.4,TEN,2021,8,34.0,31.0,-3.0
255,DEN,-6.8,0.6,WAS,2021,8,10.0,17.0,7.0
256,NE,3.2,1.5,BUF,2022,13,24.0,10.0,-14.0
257,HOU,2.9,1.1,CLE,2022,13,27.0,14.0,-13.0
258,BAL,-3.0,1.3,DEN,2022,13,9.0,10.0,1.0
259,CHI,0.1,0.6,GB,2022,13,28.0,19.0,-9.0
260,DAL,-6.2,0.5,IND,2022,13,19.0,54.0,35.0
261,DET,-0.7,0.3,JAX,2022,13,14.0,40.0,26.0
262,CIN,2.9,1.5,KC,2022,13,24.0,27.0,3.0
263,LV,-1.6,0.6,LAC,2022,13,20.0,27.0,7.0
264,SF,-3.8,1.0,MIA,2022,13,17.0,33.0,16.0
265,TB,-3.2,0.7,NO,2022,13,16.0,17.0,1.0
266,MIN,2.4,0.5,NYJ,2022,13,22.0,27.0,5.0
267,ATL,-4.6,1.1,PIT,2022,13,19.0,16.0,-3.0
268,LA,3.3,1.4,SEA,2022,13,27.0,23.0,-4.0
269,PHI,-8.0,0.5,TEN,2022,13,10.0,35.0,25.0
270,NYG,-0.6,0.6,WAS,2022,13,20.0,20.0,0.0
271,DAL,2.0,0.6,BAL,2024,3,28.0,25.0,-3.0
272,LV,-5.8,0.3,CAR,2024,3,36.0,22.0,-14.0
273,IND,-1.9,0.3,CHI,2024,3,16.0,21.0,5.0
274,TB,-2.8,0.7,DEN,2024,3,26.0,7.0,-19.0
275,ARI,1.3,0.5,DET,2024,3,20.0,13.0,-7.0
276,TEN,-1.0,0.6,GB,2024,3,30.0,14.0,-16.0
277,MIN,-1.4,0.6,HOU,2024,3,7.0,34.0,27.0
278,BUF,-6.8,0.6,JAX,2024,3,10.0,47.0,37.0
279,ATL,-0.2,0.3,KC,2024,3,22.0,17.0,-5.0
280,PIT,-1.4,0.4,LAC,2024,3,10.0,20.0,10.0
281,SEA,-2.0,0.5,MIA,2024,3,3.0,24.0,21.0
282,NYJ,1.1,0.9,NE,2024,3,3.0,24.0,21.0
283,CLE,-6.8,1.0,NYG,2024,3,21.0,15.0,-6.0
284,NO,-8.0,0.9,PHI,2024,3,15.0,12.0,-3.0
285,LA,3.6,1.1,SF,2024,3,24.0,27.0,3.0
286,CIN,-5.5,0.4,WAS,2024,3,38.0,33.0,-5.0
287,DEN,-1.6,0.4,ATL,2024,11,6.0,38.0,32.0
288,PIT,1.5,0.3,BAL,2024,11,16.0,18.0,2.0
289,LAC,-2.1,0.7,CIN,2024,11,27.0,34.0,7.0
290,NO,-5.5,0.3,CLE,2024,11,14.0,35.0,21.0
291,CHI,1.7,0.7,GB,2024,11,20.0,19.0,-1.0
292,DAL,4.6,2.3,HOU,2024,11,34.0,10.0,-24.0
293,NYJ,-4.3,0.5,IND,2024,11,28.0,27.0,-1.0
294,DET,-9.3,1.5,JAX,2024,11,6.0,52.0,46.0
295,BUF,-3.3,0.8,KC,2024,11,21.0,30.0,9.0
296,NE,-2.3,1.0,LA,2024,11,28.0,22.0,-6.0
297,MIA,-7.8,0.6,LV,2024,11,19.0,34.0,15.0
298,TEN,4.5,1.3,MIN,2024,11,23.0,13.0,-10.0
299,SF,-7.1,0.4,SEA,2024,11,20.0,17.0,-3.0
300,PHI,-4.4,0.4,WAS,2024,11,18.0,26.0,8.0
301,CAR,3.2,0.5,ATL,2023,15,7.0,9.0,2.0
302,JAX,3.4,0.4,BAL,2023,15,23.0,7.0,-16.0
303,CLE,-1.9,0.7,CHI,2023,15,17.0,20.0,3.0
304,BUF,-1.5,0.5,DAL,2023,15,10.0,31.0,21.0
305,DET,-5.4,0.5,DEN,2023,15,17.0,42.0,25.0
306,TEN,0.8,0.7,HOU,2023,15,19.0,16.0,-3.0
307,NE,2.6,0.4,KC,2023,15,27.0,17.0,-10.0
308,LV,1.5,0.4,LAC,2023,15,21.0,63.0,42.0
309,CIN,3.3,1.1,MIN,2023,15,24.0,27.0,3.0
310,NO,-8.2,0.7,NYG,2023,15,6.0,24.0,18.0
311,MIA,-5.7,0.7,NYJ,2023,15,0.0,30.0,30.0
312,SEA,-3.6,0.8,PHI,2023,15,17.0,20.0,3.0
313,IND,1.3,0.2,PIT,2023,15,13.0,30.0,17.0
314,ARI,6.4,3.3,SF,2023,15,45.0,29.0,-16.0
